video,frame,face_box,blur_score,occlusion_score,quality_score
002_interview,000000.jpg,"[36,39,150,150]",1.0,0.0611,0.9389
002_interview,000001.jpg,"[26,33,132,132]",1.0,0.116,0.884
002_interview,000002.jpg,"[35,15,242,242]",1.0,0.0543,0.9457
002_interview,000003.jpg,"[36,37,131,131]",1.0,0.1169,0.8831
002_interview,000004.jpg,"[27,39,137,137]",1.0,0.0934,0.9066
002_interview,000005.jpg,"[24,17,148,148]",0.9884,0.0637,0.9254
002_interview,000006.jpg,"[32,24,157,157]",1.0,0.0623,0.9377
002_interview,000007.jpg,"[26,28,160,160]",1.0,0.0557,0.9443
002_interview,000008.jpg,"[21,12,146,146]",0.9739,0.0609,0.9146
002_interview,000009.jpg,"[30,17,148,148]",0.98,0.0666,0.9147
002_interview,000010.jpg,"[27,26,146,146]",1.0,0.0852,0.9148
002_interview,000011.jpg,"[26,28,155,155]",1.0,0.0919,0.9081
002_interview,000012.jpg,"[21,17,246,246]",0.9998,0.0579,0.9419
002_interview,000013.jpg,"[31,15,223,223]",0.9757,0.107,0.8713
002_interview,000014.jpg,"[30,22,140,140]",0.9865,0.0694,0.918
002_interview,000015.jpg,"[24,21,145,145]",0.9502,0.0648,0.8886
002_interview,000016.jpg,"[30,21,156,156]",0.9882,0.0783,0.9108
002_interview,000017.jpg,"[30,23,153,153]",0.9917,0.0792,0.9132
002_interview,000018.jpg,"[34,23,134,134]",0.9968,0.0703,0.9267
002_interview,000019.jpg,"[31,22,135,135]",0.999,0.0667,0.9324
002_interview,000020.jpg,"[32,33,143,142]",1.0,0.0935,0.9065
002_interview,000021.jpg,"[32,33,145,145]",1.0,0.0971,0.9029
002_interview,000022.jpg,"[36,27,154,154]",1.0,0.0661,0.9339
002_interview,000023.jpg,"[31,20,137,137]",0.9997,0.0872,0.9125
002_interview,000024.jpg,"[32,20,137,137]",0.9968,0.0871,0.91
002_interview,000025.jpg,"[30,25,158,158]",1.0,0.0688,0.9312
002_interview,000026.jpg,"[26,23,161,161]",1.0,0.0543,0.9457
002_interview,000027.jpg,"[26,27,157,157]",1.0,0.0622,0.9378
002_interview,000028.jpg,"[28,25,155,155]",1.0,0.0688,0.9312
002_interview,000029.jpg,"[31,34,145,145]",1.0,0.0988,0.9012
002_interview,000030.jpg,"[19,25,212,212]",1.0,0.073,0.927
